id,nama_obat,harga_obat
1,GLIMEPIRIDE TAB 1 MG DEXA,99
2,METFORMIN TAB 500 MG HJ,162
3,GABAPENTIN TAB 100 MG DEXA,750
4,MECOBALAMIN TAB 500 MCG TAB NULAB,505
5,ATORVASTATIN TAB 20 MG BETA PHARMACON,601
6,ACARBOSE TAB 100 MG DEXA,848
7,NIFEDIPIN TAB 30 MG ADALAT OROS 30 MG,4245
8,ASETOSAL TAB 80 MG NOSPIRINAL,640
9,ASAM FOLAT TAB 1 MG PHAPROS,244
10,EPERISONE 50 MG TABLET NULAB,1
11,FLUOXETIN HCL TAB 20 MG PROMED,497
12,DIAZEPAM TAB 2 MG YARINDO,170
13,AMITRIPTILLINE TAB 25 MG YARINDO,210
14,PARACETAMOL COFFEIN TAB PARACAF,686
15,SPIRONOLAKTON TAB 25 MG DEXA,250
16,AMLODIPIN TAB 5 MG MEGA LIFE,73
17,VITAMIN B COMPLEK TAB IMFARMIND,60
18,SALMETEROL 50 MCG DAN FLUTIKASON PROPIONAT 250 MCG SERETIDE DISKUS,132693
19,SALBUTAMOL TAB 2 MG KF,80
20,METILPREDNISOLON TAB 4 MG DEXA,160
21,AMBROXOL TAB 30 MG BERNO,200
22,CHLORFENIRAMIN MALEAT TAB 4 MG PIM,74
23,BETAHISTINE TAB 24 MG YARINDO,3608
24,CELECOXIB 100MG KAPS HJ,2664
25,FLUNARIZIN 10 MG TAB BERNO,2423
26,GLUCOSAMIN TAB 500MG MPL MEDIKON,02:51:00
27,SUKRALFAT SIR 500MG/ 5ML DEXA,07:15:00
28,NATRIUM DICLOFENAC 1% GEL GALTAREN,22:05:00
29,CLOPIDOGREL TAB 75 MG BETA PHARMACON,700
30,INSULIN DETEMIR PEN 100 IU/ ML INSULIN LONG ACTING LEVEMIR,89799
31,NEEDLE 32 FINE PEN BD,1887
32,ACARBOSE TAB 50 MG DEXA,700
33,INDACATEROL 300 MCG ONBREZ BREEZHALER,12836
34,CYANOCOBALAMINE (VIT B12) TAB 50 MCG KF,67
35,AMLODIPIN TAB 10 MG MEGA LIFE,100
36,RAMIPRIL TAB 5 MG DEXA,155
37,INSULIN MIX ASPARTAT&DEGLUDEC RYZODEG,113018
38,BISOPROLOL TAB 5 MG DEXA,200
39,INSULIN MIX INJ 100 IU/ML KWIKPEN HUMALOG MIX 50,113018
40,GLIMEPIRIDE TAB 2 MG DEXA,175
41,GLIMEPIRIDE TAB 3 MG DEXA,285
42,SIMVASTATIN TAB 10 MG HJ,105
43,PIOGLITAZONE TAB 30 MG DEXA,747
44,VILDAGLIPTIN TAB 50 MG DEXA,1754
45,KALSIUM LACTAT TAB 500 MG IMFARMIND,84
46,"VITAMIN B1, B6, B12 TAB BENEURON",430
47,GABAPENTIN TAB 300 MG DEXA,645
48,NATRIUM DIKLOFENAK TAB 50 MG DEXA,110
49,ANTASIDA DOEN SIR ERELA,3719
50,ZOLPIDEM TARTRATE TAB 10 MG ZUDEM,3663
51,CODEIN TAB 20 MG KF,01:36:00
52,CANDESARTAN TAB 16 MG DEXA,420
53,PARACETAMOL COFFEIN TAB FASIDOL PLUS,535
54,MELOXICAM TAB 15 MG MBF,310
55,"PSEUDOEFEDRIN TRIPROLIDIN TAB 60/2,5 MEPRO EFLIN",1179
56,FENOFIBRAT TAB 300 MG DEXA,734
57,PREGABALIN 75 MG TABLET PHAPROS,1221
58,N ASETILSISTEIN CAP 200 MG DEXA,320
59,CITICOLIN TAB 500 MG MBF,2997
60,VITAMIN B6 TAB 25MG PIRIDOKSIN IMFARMIND,222
61,PHENYTOIN 100 MG KAPS IKHAPARMINDO,738
62,CANDESARTAN TAB 8 MG DEXA,285
63,LANSOPRAZOL CAP 30 MG HJ,384
64,UDCA CAP 250 MG DEXA,1559
65,CEFADROKSIL CAP 500 MG INFION,504
66,OBH SYR MOLEX,05:05:00
67,SALMETEROL 50 MCG DAN FLUTIKASON PROPIONAT 500 MCG SERETIDE DISKUS,146442
68,"BUDESONID FORMOTEROL TUR 160/4,5 MCG SYMBICORT",144402
69,VITAMIN D3 1000 IU TAB PIM,207
70,"TIOTROPIUM BROMIDE 2,5 MCG SPIRIVA RESPIMAT REFILL TEMPO",424725
71,FUROSEMIDE TAB 40 MG YARINDO,263
72,THIAMAZOL TAB 10 MG NOVELL,888
73,PROPANOLOL TAB 10 MG DEXA,70
74,SILOSTAZOL KAPS SR 100 MG PLETAAL SR,6178
75,IBUPROFEN TAB 400 MG YARINDO,401
76,"TIOTROPIUM BROMIDE 2,5 MCG SPIRIVA RESPIMAT TEMPO",471922
77,AZITROMISIN TAB 500 MG PRATAPA,03:01:00
78,PIRACETAM 800 MG TAB BERNO,560
79,DONEPEZIL TABLET DISP 10 MG ARICEPT EVESS,6888
80,GLICLAZIDE TAB 60 MG FONYLIN MR,03:21:00
81,"DEKSAMETASON TABLET 0,5 MG KF",69
82,INSULIN ASPART RAPID PEN 100 IU/ ML NOVORAPID,95326
83,"BUDESONID FORMOTEROL RAPIHALER 160/4,5 MCG SYMBICORT","9 days, 5:05:00"
84,MECOBALAMIN 500 MCG INJ NULAB,6215
85,INSULIN GARGLINE LONG ACTING 100 IU/ ML EZELIN,89799
86,ALLOPURINOL TAB 100 MG HJ,155
87,LEVOTIROKSIN TAB 50 MCG EUTHYROX,759
88,METOCLOPRAMID TAB 10 MG KF,114
89,LISINOPRIL 5MG TAB NOVEL,0
90,ONDANSETRON TAB 4 MG MEGA LIFE,250
91,KCL TAB 600 MG KSR,1962
92,RAMIPRIL TAB 10 MG DEXA,555
93,SALMETEROL 25 MCG DAN FLUTIKASON PROPIONAT 50 MCG SERETIDE INHALER,62841
